Client,OppId,Members
Skanska,ska-opp-070,AllanD@spportaldemo.OnMicrosoft.com|NestorW@spportaldemo.OnMicrosoft.com
Skanska,ska-opp-071,PattiF@spportaldemo.OnMicrosoft.com|NestorW@spportaldemo.OnMicrosoft.com
Skanska,ska-opp-072,IsaiahL@spportaldemo.OnMicrosoft.com|AlexW@spportaldemo.OnMicrosoft.com|LynneR@spportaldemo.OnMicrosoft.com
Skanska,ska-opp-073,JoniS@spportaldemo.OnMicrosoft.com|IsaiahL@spportaldemo.OnMicrosoft.com|LynneR@spportaldemo.OnMicrosoft.com|AllanD@spportaldemo.OnMicrosoft.com
Saab,saa-opp-074,AlexW@spportaldemo.OnMicrosoft.com|MeganB@spportaldemo.OnMicrosoft.com|IsaiahL@spportaldemo.OnMicrosoft.com|AllanD@spportaldemo.OnMicrosoft.com
Saab,saa-opp-075,NestorW@spportaldemo.OnMicrosoft.com|IsaiahL@spportaldemo.OnMicrosoft.com|AlexW@spportaldemo.OnMicrosoft.com
Saab,saa-opp-076,AllanD@spportaldemo.OnMicrosoft.com|LynneR@spportaldemo.OnMicrosoft.com|MeganB@spportaldemo.OnMicrosoft.com|PattiF@spportaldemo.OnMicrosoft.com
Saab,saa-opp-077,MeganB@spportaldemo.OnMicrosoft.com|LynneR@spportaldemo.OnMicrosoft.com|JoniS@spportaldemo.OnMicrosoft.com|DiegoS@spportaldemo.OnMicrosoft.com
Tidewater Corporation,tid-opp-078,PattiF@spportaldemo.OnMicrosoft.com|AllanD@spportaldemo.OnMicrosoft.com|JoniS@spportaldemo.OnMicrosoft.com|LynneR@spportaldemo.OnMicrosoft.com
Tidewater Corporation,tid-opp-079,IsaiahL@spportaldemo.OnMicrosoft.com|DiegoS@spportaldemo.OnMicrosoft.com
Tidewater Corporation,tid-opp-080,AlexW@spportaldemo.OnMicrosoft.com|DiegoS@spportaldemo.OnMicrosoft.com
Unisys,uni-opp-081,NestorW@spportaldemo.OnMicrosoft.com|IsaiahL@spportaldemo.OnMicrosoft.com|AlexW@spportaldemo.OnMicrosoft.com|JoniS@spportaldemo.OnMicrosoft.com
Unisys,uni-opp-082,IsaiahL@spportaldemo.OnMicrosoft.com|AllanD@spportaldemo.OnMicrosoft.com
Unisys,uni-opp-083,LynneR@spportaldemo.OnMicrosoft.com|NestorW@spportaldemo.OnMicrosoft.com|AllanD@spportaldemo.OnMicrosoft.com
Vodaphone,vod-opp-084,NestorW@spportaldemo.OnMicrosoft.com|AllanD@spportaldemo.OnMicrosoft.com|PattiF@spportaldemo.OnMicrosoft.com|JoniS@spportaldemo.OnMicrosoft.com
Vodaphone,vod-opp-085,AlexW@spportaldemo.OnMicrosoft.com|LynneR@spportaldemo.OnMicrosoft.com
Vodaphone,vod-opp-086,JoniS@spportaldemo.OnMicrosoft.com|PattiF@spportaldemo.OnMicrosoft.com|NestorW@spportaldemo.OnMicrosoft.com|IsaiahL@spportaldemo.OnMicrosoft.com
Vodaphone,vod-opp-087,PattiF@spportaldemo.OnMicrosoft.com|AllanD@spportaldemo.OnMicrosoft.com|MeganB@spportaldemo.OnMicrosoft.com|IsaiahL@spportaldemo.OnMicrosoft.com
Wagner Electric,wag-opp-088,MeganB@spportaldemo.OnMicrosoft.com|IsaiahL@spportaldemo.OnMicrosoft.com|AlexW@spportaldemo.OnMicrosoft.com
Wagner Electric,wag-opp-089,AlexW@spportaldemo.OnMicrosoft.com|NestorW@spportaldemo.OnMicrosoft.com|DiegoS@spportaldemo.OnMicrosoft.com
Wagner Electric,wag-opp-090,AlexW@spportaldemo.OnMicrosoft.com|JoniS@spportaldemo.OnMicrosoft.com|AllanD@spportaldemo.OnMicrosoft.com|PattiF@spportaldemo.OnMicrosoft.com
Wagner Electric,wag-opp-091,AlexW@spportaldemo.OnMicrosoft.com|LynneR@spportaldemo.OnMicrosoft.com|NestorW@spportaldemo.OnMicrosoft.com
Xeccon,xec-opp-092,JoniS@spportaldemo.OnMicrosoft.com|AlexW@spportaldemo.OnMicrosoft.com
Xeccon,xec-opp-093,PattiF@spportaldemo.OnMicrosoft.com|MeganB@spportaldemo.OnMicrosoft.com|IsaiahL@spportaldemo.OnMicrosoft.com
Xeccon,xec-opp-094,LynneR@spportaldemo.OnMicrosoft.com|IsaiahL@spportaldemo.OnMicrosoft.com
Yahoo,yah-opp-095,AllanD@spportaldemo.OnMicrosoft.com|MeganB@spportaldemo.OnMicrosoft.com|JoniS@spportaldemo.OnMicrosoft.com
Yahoo,yah-opp-096,IsaiahL@spportaldemo.OnMicrosoft.com|JoniS@spportaldemo.OnMicrosoft.com
Zara,zar-opp-097,IsaiahL@spportaldemo.OnMicrosoft.com|NestorW@spportaldemo.OnMicrosoft.com
Zara,zar-opp-098,NestorW@spportaldemo.OnMicrosoft.com|AllanD@spportaldemo.OnMicrosoft.com|MeganB@spportaldemo.OnMicrosoft.com|DiegoS@spportaldemo.OnMicrosoft.com
Zara,zar-opp-099,DiegoS@spportaldemo.OnMicrosoft.com|AllanD@spportaldemo.OnMicrosoft.com
Zara,zar-opp-100,NestorW@spportaldemo.OnMicrosoft.com|JoniS@spportaldemo.OnMicrosoft.com|LynneR@spportaldemo.OnMicrosoft.com
